Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2013,29000,135 kW (184 CP),Diesel,manuala,21950
BMW 3,2013,53000,105 kW (143 CP),Diesel,manuala,19999
BMW 3,2014,200000,135 kW (184 CP),Diesel,manuala,13899
BMW 3,2010,155000,150 kW (204 CP),Diesel,automata,15000
BMW 3,2007,191000,120 kW (163 CP),Diesel,manuala,3500
BMW 3,2014,105724,135 kW (184 CP),Diesel,manuala,18900
BMW 3,2007,174276,110 kW (150 CP),Benzina,manuala,5990
BMW 3,2016,113892,190 kW (258 CP),Diesel,automata,24450
BMW 3,2014,198200,135 kW (184 CP),Benzina,automata,15890
BMW 3,2008,143000,125 kW (170 CP),Benzina,automata,8800
BMW 3,2010,61347,105 kW (143 CP),Benzina,manuala,9850
BMW 3,2015,153000,135 kW (184 CP),Diesel,automata,19200
BMW 3,2014,64000,105 kW (143 CP),Diesel,manuala,14900
BMW 3,2013,194000,135 kW (184 CP),Diesel,manuala,12500
BMW 3,2008,207000,190 kW (258 CP),Benzina,manuala,7500
BMW 3,2008,156000,105 kW (143 CP),Benzina,manuala,8000
BMW 3,2007,160000,130 kW (177 CP),Diesel,automata,6800
BMW 3,2010,195000,135 kW (184 CP),Diesel,manuala,12500
BMW 3,2012,65000,180 kW (245 CP),Benzina,automata,18900
BMW 3,2007,259000,105 kW (143 CP),Diesel,manuala,5750
BMW 3,2007,189000,145 kW (197 CP),Diesel,manuala,6700
BMW 3,2014,144869,135 kW (184 CP),Diesel,automata,14990
BMW 3,2007,244000,120 kW (163 CP),Diesel,automata,7400
BMW 3,2011,197654,180 kW (245 CP),Diesel,automata,13990
BMW 3,2017,89000,265 kW (360 CP),Benzina,automata,35900
BMW 3,2017,59191,140 kW (190 CP),Diesel,automata,30980
BMW 3,2011,124000,180 kW (245 CP),Diesel,automata,18990
BMW 3,2015,155000,85 kW (116 CP),Diesel,manuala,10790
BMW 3,2014,89999,180 kW (245 CP),Benzina,automata,28899
BMW 3,2007,217600,95 kW (129 CP),Benzina,manuala,4300
BMW 3,2008,90000,130 kW (177 CP),Diesel,automata,7500
BMW 3,2008,223100,130 kW (177 CP),Diesel,manuala,3700
BMW 3,2009,140000,105 kW (143 CP),Diesel,automata,8500
BMW 3,2017,42743,240 kW (326 CP),Benzina,automata,33900
BMW 3,2016,88424,140 kW (190 CP),Diesel,automata,22930
BMW 3,2015,69700,140 kW (190 CP),Diesel,automata,22790
BMW 3,2016,152921,85 kW (116 CP),Diesel,manuala,13450
BMW 3,2009,87278,105 kW (143 CP),Benzina,manuala,9900
BMW 3,2008,196000,130 kW (177 CP),Diesel,manuala,7450
BMW 3,2014,202500,135 kW (184 CP),Diesel,manuala,16000
BMW 3,2007,300349,145 kW (197 CP),Diesel,manuala,6999
BMW 3,2014,60267,190 kW (258 CP),Diesel,automata,26900
BMW 3,2018,25400,135 kW (184 CP),Benzina,automata,28200
BMW 3,2018,25400,135 kW (184 CP),Benzina,automata,28200
BMW 3,2017,90496,140 kW (190 CP),Diesel,automata,20499
BMW 3,2016,24045,135 kW (184 CP),Benzina,manuala,25474
BMW 3,2013,187250,190 kW (258 CP),Diesel,automata,15450
BMW 3,2015,173000,105 kW (143 CP),Diesel,automata,14999
BMW 3,2008,65000,125 kW (170 CP),Benzina,manuala,8500
BMW 3,2007,175825,120 kW (163 CP),Diesel,manuala,7450
BMW 3,2016,186327,85 kW (116 CP),Diesel,manuala,12900
BMW 3,2012,166067,85 kW (116 CP),Diesel,manuala,8650
BMW 3,2012,70385,135 kW (184 CP),Benzina,manuala,15250
BMW 3,2012,181422,225 kW (306 CP),Benzina,automata,22100
BMW 3,2010,102800,105 kW (143 CP),Benzina,manuala,10999
BMW 3,2010,173000,180 kW (245 CP),Diesel,manuala,9950
BMW 3,2007,140000,110 kW (150 CP),Benzina,manuala,6600
BMW 3,2014,31290,135 kW (184 CP),Benzina,manuala,19900
BMW 3,2017,59191,140 kW (190 CP),Diesel,automata,30980
BMW 3,2013,33200,180 kW (245 CP),Benzina,manuala,20980
BMW 3,2008,162000,105 kW (143 CP),Benzina,manuala,6999
BMW 3,2011,155222,135 kW (184 CP),Diesel,automata,13990
BMW 3,2014,22000,135 kW (184 CP),Benzina,manuala,18900
BMW 3,2008,87900,125 kW (170 CP),Benzina,automata,10990
BMW 3,2008,211000,105 kW (143 CP),Benzina,manuala,6500
BMW 3,2009,148000,180 kW (245 CP),Diesel,automata,14990
BMW 3,2011,82000,125 kW (170 CP),Benzina,automata,15750
BMW 3,2012,119294,135 kW (184 CP),Diesel,manuala,15999
BMW 3,2010,87258,130 kW (177 CP),Diesel,manuala,9500
BMW 3,2016,32350,135 kW (184 CP),Benzina,manuala,23889
BMW 3,2013,100000,100 kW (136 CP),Benzina,manuala,17900
BMW 3,2016,96400,230 kW (313 CP),Diesel,automata,27450
BMW 3,2017,55000,190 kW (258 CP),Diesel,automata,31900
BMW 3,2009,161000,125 kW (170 CP),Benzina,automata,8000
BMW 3,2013,112900,135 kW (184 CP),Diesel,manuala,15945
BMW 3,2015,115107,190 kW (258 CP),Diesel,automata,24999
BMW 3,2012,81000,105 kW (143 CP),Diesel,automata,15990
BMW 3,2015,150000,105 kW (143 CP),Diesel,automata,14990
BMW 3,2015,150000,105 kW (143 CP),Diesel,automata,14990
BMW 3,2016,148000,160 kW (218 CP),Diesel,automata,18990
BMW 3,2016,148000,160 kW (218 CP),Diesel,automata,18990
BMW 3,2008,175000,105 kW (143 CP),Benzina,manuala,3950
BMW 3,2013,55717,135 kW (184 CP),Benzina,automata,17799
BMW 3,2017,46900,185 kW (252 CP),Benzina,automata,34950
BMW 3,2017,46900,185 kW (252 CP),Benzina,automata,34950
BMW 3,2013,83000,105 kW (143 CP),Diesel,manuala,15600
BMW 3,2012,105900,180 kW (245 CP),Benzina,automata,16900
BMW 3,2008,105937,105 kW (143 CP),Benzina,manuala,5990
BMW 3,2009,117610,105 kW (143 CP),Benzina,manuala,8490
BMW 3,2014,114450,105 kW (143 CP),Diesel,automata,17545
BMW 3,2017,29000,100 kW (136 CP),Benzina,manuala,19689
BMW 3,2008,87000,130 kW (177 CP),Diesel,manuala,7690
BMW 3,2007,135500,160 kW (218 CP),Benzina,automata,8200
BMW 3,2017,31600,140 kW (190 CP),Diesel,automata,25890
BMW 3,2014,150321,105 kW (143 CP),Diesel,manuala,11900
BMW 3,2009,96400,160 kW (218 CP),Benzina,automata,11499
BMW 3,2008,226000,105 kW (143 CP),Diesel,manuala,4300
BMW 3,2007,105844,95 kW (129 CP),Benzina,manuala,6990
BMW 3,2012,118500,135 kW (184 CP),Diesel,manuala,18499
BMW 3,2008,134000,105 kW (143 CP),Diesel,manuala,7750
BMW 3,2008,178000,105 kW (143 CP),Diesel,manuala,6999
BMW 3,2013,143000,105 kW (143 CP),Diesel,automata,12900
BMW 3,2009,225000,130 kW (177 CP),Diesel,manuala,7800
BMW 3,2015,96700,120 kW (163 CP),Diesel,manuala,14880
BMW 3,2010,146800,125 kW (170 CP),Benzina,manuala,8000
BMW 3,2010,268000,120 kW (163 CP),Diesel,manuala,6500
BMW 3,2009,151130,105 kW (143 CP),Benzina,manuala,7450
BMW 3,2016,51742,110 kW (150 CP),Diesel,automata,18990
BMW 3,2016,30376,135 kW (184 CP),Benzina,manuala,25490
BMW 3,2014,109800,135 kW (184 CP),Diesel,manuala,17990
BMW 3,2007,135800,110 kW (150 CP),Benzina,manuala,4900
BMW 3,2013,266700,135 kW (184 CP),Diesel,automata,12390
BMW 3,2013,172900,135 kW (184 CP),Diesel,manuala,13490
BMW 3,2014,111144,180 kW (245 CP),Benzina,manuala,19990
BMW 3,2009,41000,105 kW (143 CP),Benzina,manuala,11800
BMW 3,2008,91000,105 kW (143 CP),Benzina,manuala,7350
BMW 3,2015,167000,120 kW (163 CP),Diesel,automata,12650
BMW 3,2007,167100,95 kW (129 CP),Benzina,manuala,4490
BMW 3,2015,103193,135 kW (184 CP),Diesel,automata,20900
BMW 3,2010,121000,125 kW (170 CP),Benzina,manuala,10999
BMW 3,2010,57000,160 kW (218 CP),Benzina,automata,12490
BMW 3,2010,72000,150 kW (204 CP),Diesel,manuala,12490
BMW 3,2008,86299,105 kW (143 CP),Benzina,manuala,11999
BMW 3,2015,139000,190 kW (258 CP),Diesel,automata,19990
BMW 3,2016,58500,180 kW (245 CP),Benzina,automata,26900
BMW 3,2011,182000,135 kW (184 CP),Diesel,automata,12990
BMW 3,2013,75806,100 kW (136 CP),Benzina,manuala,15990
BMW 3,2008,169000,105 kW (143 CP),Benzina,manuala,5800
BMW 3,2017,115000,140 kW (190 CP),Diesel,automata,27900
BMW 3,2012,133000,135 kW (184 CP),Diesel,automata,19900
BMW 3,2008,131000,125 kW (170 CP),Benzina,manuala,4990
BMW 3,2016,28000,140 kW (190 CP),Diesel,automata,35000
BMW 3,2011,210000,200 kW (272 CP),Benzina,automata,11999
BMW 3,2012,82500,135 kW (184 CP),Benzina,manuala,18900
BMW 3,2013,90959,135 kW (184 CP),Diesel,automata,17350
BMW 3,2010,128000,125 kW (170 CP),Benzina,manuala,11500
BMW 3,2007,110594,160 kW (218 CP),Benzina,automata,8985
BMW 3,2008,108733,105 kW (143 CP),Benzina,automata,7999
BMW 3,2014,74070,135 kW (184 CP),Benzina,automata,18999
